Model,Accuracy,Precision,Recall,F1 Score
Linear SVM,0.9885791064830366,0.9843694493783304,0.9914132379248658,0.9878787878787879
Logistic Regression,0.9847161572052402,0.9770642201834863,0.9906976744186047,0.9838337182448037
Naive Bayes,0.9837084313066846,0.9793887704335466,0.986046511627907,0.9827063647709039
Random Forest,0.9830366140409809,0.9739619985925405,0.9903398926654741,0.9820826680858613
Gradient Boosting,0.9494457507557944,0.9187374076561451,0.9788908765652952,0.9478607309890871
Decision Tree,0.9392005374538126,0.9312300602623184,0.9398926654740608,0.9355413105413105
AdaBoost,0.8950285522337924,0.8559711286089239,0.9334525939177102,0.8930344001369159
KNN,0.6860933825999328,0.5993562231759657,0.9992844364937388,0.7492957746478873
